pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4ydl	B	C	0	A	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC18.02 in complex with HIV-1 clade AE strain 93TH057gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	1.8	X-RAY DIFFRACTION	0.207	0.174	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
4ydl	H	L	0	G	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC18.02 in complex with HIV-1 clade AE strain 93TH057gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Srivatsan, S., Kwong, P.D.	1.8	X-RAY DIFFRACTION	0.207	0.174	False	True	unknown	IGKV3	Kappa	None	None	None	None	None
4ydk	H	L	0	G	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody C38-VRC16.01 in complex with HIV-1 clade AE strain 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Zheng, A., Kwong, P.D.	2.051	X-RAY DIFFRACTION	0.206	0.166	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4ydj	A	B	0	I	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody 44-VRC13.01 in complex with HIV-1 clade AE strain 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.308	X-RAY DIFFRACTION	0.250	0.223	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
4ydj	H	L	0	G	protein	NA	envelope glycoprotein gp160,envelope glycoprotein gp160	IMMUNE SYSTEM	02/22/15	Crystal structure of broadly and potently neutralizing antibody 44-VRC13.01 in complex with HIV-1 clade AE strain 93TH057 gp120	HUMAN IMMUNODEFICIENCY VIRUS 1; HOMO SAPIENS	homo sapiens	homo sapiens	human immunodeficiency virus 1	Zhou, T., Moquin, S., Kwong, P.D.	2.308	X-RAY DIFFRACTION	0.250	0.223	False	True	unknown	IGLV2	Lambda	None	None	None	None	None
1vge	H	L	0	NA	NA	NA	NA	IMMUNOGLOBULIN	01/04/96	TR1.9 FAB FRAGMENT OF A HUMAN IGG1 KAPPA AUTOANTIBODY	HOMO SAPIENS	homo sapiens	homo sapiens		Chacko, S., Padlan, E.A.	2.0	X-RAY DIFFRACTION	unknown	0.180	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
5ig7	G	H	0	I	peptide	NA	peptide pro-leu-gln-pro-gln-gln-pro-phe-pro	IMMUNE SYSTEM	02/27/16	Crystal structure of anti-gliadin 1002-1E01 Fab fragment in complex of peptide PLQPQQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	1.97	X-RAY DIFFRACTION	0.236	0.190	False	True	IGHV3	IGLV4	Lambda	None	None	None	None	None
5ig7	A	B	0	C	peptide	NA	peptide pro-leu-gln-pro-gln-gln-pro-phe-pro	IMMUNE SYSTEM	02/27/16	Crystal structure of anti-gliadin 1002-1E01 Fab fragment in complex of peptide PLQPQQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	1.97	X-RAY DIFFRACTION	0.236	0.190	False	True	IGHV3	IGLV4	Lambda	None	None	None	None	None
5ig7	J	K	0	L	peptide	NA	peptide pro-leu-gln-pro-gln-gln-pro-phe-pro	IMMUNE SYSTEM	02/27/16	Crystal structure of anti-gliadin 1002-1E01 Fab fragment in complex of peptide PLQPQQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	1.97	X-RAY DIFFRACTION	0.236	0.190	False	True	IGHV3	IGLV4	Lambda	None	None	None	None	None
5ig7	D	E	0	F	peptide	NA	peptide pro-leu-gln-pro-gln-gln-pro-phe-pro	IMMUNE SYSTEM	02/27/16	Crystal structure of anti-gliadin 1002-1E01 Fab fragment in complex of peptide PLQPQQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	1.97	X-RAY DIFFRACTION	0.236	0.190	False	True	IGHV3	IGLV4	Lambda	None	None	None	None	None
4kq3	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	05/14/13	Crystal structure of Anti-IL-17A antibody CNTO3186	HOMO SAPIENS	homo sapiens	homo sapiens		Teplyakov, A., Obmolova, G., Malia, T., Gilliland, G.L.	1.92	X-RAY DIFFRACTION	0.225	0.171	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
3x3f	H	L	0	A	protein	NA	tumor necrosis factor receptor superfamily member 10b	APOPTOSIS/IMMUNE SYSTEM	01/20/15	TRAIL-R2 Extracellular Region Complexed to a Fab fragment from Human Agonist Antibody KMTR2	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Tamada, T.	2.1	X-RAY DIFFRACTION	0.224	0.186	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
