,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063,F064,F065,F066,F067,F068,F069,F070,F071,F072,F073,F074,F075,F076,F077,F078,F079,F080,F081,F082,F083,F084,F085,F086,F087,F088,F089,F090,F091,F092,F093,F094,F095,F096,F097,F098,F099,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145
8fab_B,   0.00000,   0.00000,  38.00000,  34.50000,  63.00000,  57.30000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   4.00000,   3.60000,  12.00000,  10.90000,   2.00000,   1.80000,   1.00000,   0.90000,6401.70000,   0.00000,   0.00000,1896.00000, 658.00000,   0.00000,1223.00000, 632.00000,1992.00000,   0.36842,   0.37489,   0.38994,   0.40454,   0.38693,   0.39585,   0.10537,   0.36131,   0.56866,   0.52992,   0.11723,   0.17985,   0.27904,   0.65706,   0.11754,   0.28447,   0.58750,   0.38625,   0.37432,   0.15182,   0.25810,   0.36317,4761.60000,1649.22000,1679.17000, 667.01000,3082.43000, 982.21000,   4.00000,   7.00000,   3.00000,   5.00000,   0.00000,   2.00000,   2.00000,   9.00000,   0.00000,   0.00000,   2.00000,   4.00000,   0.00000,   2.00000,   3.00000,   5.00000,   4.00000,   0.00000,   2.00000,   5.00000,   4.00000,   2.00000,   1.00000,   1.00000,   2.00000,   2.00000,   0.00000,   2.00000,   1.00000,   4.00000,   5.00000,   0.00000,   3.00000,   3.00000,   0.00000,   5.00000,   3.00000,   3.00000,   6.00000,   4.00000,   0.03636,   0.06364,   0.02727,   0.04545,   0.00000,   0.01818,   0.01818,   0.08182,   0.00000,   0.00000,   0.01818,   0.03636,   0.00000,   0.01818,   0.02727,   0.04545,   0.03636,   0.00000,   0.01818,   0.04545,   0.03636,   0.01818,   0.00909,   0.00909,   0.01818,   0.01818,   0.00000,   0.01818,   0.00909,   0.03636,   0.04545,   0.00000,   0.02727,   0.02727,   0.00000,   0.04545,   0.02727,   0.02727,   0.05455,   0.03636
7fab_H,   0.00000,   0.00000,  42.00000,  38.20000,  67.00000,  60.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   8.20000,   9.00000,   8.20000,   2.00000,   1.80000,   1.00000,   0.90000,6001.90000,   0.00000,   0.00000,1927.00000, 338.00000,   0.00000,1340.00000, 869.00000,1531.00000,   0.35437,   0.39336,   0.65248,   0.46018,   0.30866,   0.43115,   0.07748,   0.35935,   0.32915,   0.49818,   0.00000,   0.25128,   0.28519,   0.72073,   0.13957,   0.15409,   0.64544,   0.41001,   0.39970,   0.15790,   0.17203,   0.22433,4611.95000,1507.35000,1884.69000, 629.08000,2727.26000, 878.27000,   5.00000,   5.00000,   2.00000,   5.00000,   0.00000,   3.00000,   2.00000,  10.00000,   0.00000,   1.00000,   4.00000,   1.00000,   0.00000,   0.00000,   5.00000,   7.00000,   8.00000,   0.00000,   0.00000,   3.00000,   1.00000,   2.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   2.00000,   0.00000,   2.00000,   8.00000,   0.00000,   1.00000,   3.00000,   0.00000,   3.00000,   4.00000,   4.00000,   6.00000,   7.00000,   0.04545,   0.04545,   0.01818,   0.04545,   0.00000,   0.02727,   0.01818,   0.09091,   0.00000,   0.00909,   0.03636,   0.00909,   0.00000,   0.00000,   0.04545,   0.06364,   0.07273,   0.00000,   0.00000,   0.02727,   0.00909,   0.01818,   0.00909,   0.00000,   0.01818,   0.02727,   0.00000,   0.01818,   0.00000,   0.01818,   0.07273,   0.00000,   0.00909,   0.02727,   0.00000,   0.02727,   0.03636,   0.03636,   0.05455,   0.06364
5wuv_H,   2.00000,   1.80000,  42.00000,  38.20000,  71.00000,  64.50000,   0.00000,   0.00000,   1.00000,   0.90000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.30000,  11.00000,  10.00000,   3.00000,   2.70000,   1.00000,   0.90000,6400.20000,   0.00000, 134.00000,1823.00000, 685.00000,   0.00000,1289.00000, 661.00000,1808.00000,   0.38426,   0.33245,   0.31257,   0.38981,   0.20181,   0.51067,   0.08382,   0.44367,   0.59067,   0.42009,   0.00000,   0.28921,   0.29503,   0.68823,   0.15572,   0.15871,   0.55015,   0.40882,   0.30745,   0.16757,   0.31229,   0.32614,4606.42000,1675.71000,1402.08000, 683.39000,3204.34000, 992.32000,   4.00000,   5.00000,   1.00000,   5.00000,   0.00000,   3.00000,   4.00000,   9.00000,   0.00000,   1.00000,   2.00000,   3.00000,   0.00000,   0.00000,   2.00000,   6.00000,   3.00000,   0.00000,   3.00000,   5.00000,   5.00000,   1.00000,   2.00000,   0.00000,   2.00000,   2.00000,   1.00000,   5.00000,   0.00000,   2.00000,   6.00000,   0.00000,   4.00000,   3.00000,   1.00000,   4.00000,   3.00000,   4.00000,   7.00000,   2.00000,   0.03636,   0.04545,   0.00909,   0.04545,   0.00000,   0.02727,   0.03636,   0.08182,   0.00000,   0.00909,   0.01818,   0.02727,   0.00000,   0.00000,   0.01818,   0.05455,   0.02727,   0.00000,   0.02727,   0.04545,   0.04545,   0.00909,   0.01818,   0.00000,   0.01818,   0.01818,   0.00909,   0.04545,   0.00000,   0.01818,   0.05455,   0.00000,   0.03636,   0.02727,   0.00909,   0.03636,   0.02727,   0.03636,   0.06364,   0.01818
5veb_A,   0.00000,   0.00000,  42.00000,  38.20000,  66.00000,  60.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.40000,   9.00000,   8.20000,   3.00000,   2.70000,   1.00000,   0.90000,6164.80000,   0.00000,   0.00000,2079.00000, 368.00000,   0.00000,1558.00000, 398.00000,1761.00000,   0.39458,   0.34655,   0.32560,   0.34955,   0.40411,   0.48935,   0.08455,   0.49737,   0.47844,   0.46608,   0.24108,   0.12130,   0.28415,   0.70641,   0.12391,   0.28097,   0.73099,   0.41477,   0.36601,   0.24850,   0.24667,   0.25021,4555.52000,1715.95000,1381.47000, 657.83000,3174.05000,1058.12000,   4.00000,   3.00000,   3.00000,   4.00000,   0.00000,   4.00000,   2.00000,  11.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   2.00000,   9.00000,   3.00000,   1.00000,   1.00000,   3.00000,   4.00000,   3.00000,   1.00000,   0.00000,   2.00000,   3.00000,   1.00000,   4.00000,   1.00000,   2.00000,   7.00000,   0.00000,   2.00000,   3.00000,   0.00000,   7.00000,   2.00000,   3.00000,   4.00000,   4.00000,   0.03636,   0.02727,   0.02727,   0.03636,   0.00000,   0.03636,   0.01818,   0.10000,   0.00909,   0.00000,   0.01818,   0.02727,   0.00000,   0.00909,   0.01818,   0.08182,   0.02727,   0.00909,   0.00909,   0.02727,   0.03636,   0.02727,   0.00909,   0.00000,   0.01818,   0.02727,   0.00909,   0.03636,   0.00909,   0.01818,   0.06364,   0.00000,   0.01818,   0.02727,   0.00000,   0.06364,   0.01818,   0.02727,   0.03636,   0.03636
5v7u_H,   2.00000,   1.70000,  47.00000,  39.80000,  76.00000,  64.40000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   5.90000,  12.00000,  10.20000,   3.00000,   2.50000,   1.00000,   0.80000,6670.20000,   0.00000, 188.00000,2086.00000, 902.00000,   0.00000, 911.00000, 609.00000,1973.00000,   0.42246,   0.33692,   0.31253,   0.35672,   0.31535,   0.43389,   0.13037,   0.54436,   0.35774,   0.45997,   0.30712,   0.10458,   0.38512,   0.55989,   0.28316,   0.21345,   0.57737,   0.44557,   0.36977,   0.19674,   0.23251,   0.22062,5118.99000,1676.22000,1346.97000, 561.66000,3772.03000,1114.56000,   4.00000,   4.00000,   1.00000,   5.00000,   0.00000,   6.00000,   3.00000,   9.00000,   1.00000,   0.00000,   1.00000,   5.00000,   2.00000,   0.00000,   4.00000,   6.00000,   4.00000,   0.00000,   1.00000,   2.00000,   3.00000,   3.00000,   2.00000,   0.00000,   3.00000,   2.00000,   1.00000,   4.00000,   1.00000,   2.00000,   2.00000,   0.00000,   2.00000,   2.00000,   0.00000,   2.00000,   5.00000,   3.00000,   6.00000,   9.00000,   0.03636,   0.03636,   0.00909,   0.04545,   0.00000,   0.05455,   0.02727,   0.08182,   0.00909,   0.00000,   0.00909,   0.04545,   0.01818,   0.00000,   0.03636,   0.05455,   0.03636,   0.00000,   0.00909,   0.01818,   0.02727,   0.02727,   0.01818,   0.00000,   0.02727,   0.01818,   0.00909,   0.03636,   0.00909,   0.01818,   0.01818,   0.00000,   0.01818,   0.01818,   0.00000,   0.01818,   0.04545,   0.02727,   0.05455,   0.08182
5v7r_H,   2.00000,   1.70000,  47.00000,  40.90000,  78.00000,  67.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.70000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   7.80000,  10.00000,   8.70000,   4.00000,   3.50000,   1.00000,   0.90000,6089.50000,   0.00000,  30.00000,2147.00000, 343.00000,   0.00000,1636.00000, 468.00000,1462.00000,   0.36791,   0.31880,   0.35925,   0.33515,   0.41421,   0.47540,   0.08537,   0.49237,   0.47430,   0.38969,   0.12283,   0.11613,   0.24631,   0.70792,   0.40875,   0.31587,   0.64882,   0.37115,   0.30610,   0.16489,   0.28292,   0.22860,4460.88000,1629.83000,1330.97000, 613.68000,3129.91000,1016.15000,   4.00000,   4.00000,   4.00000,   6.00000,   0.00000,   4.00000,   1.00000,  10.00000,   0.00000,   0.00000,   2.00000,   3.00000,   1.00000,   2.00000,   2.00000,   7.00000,   4.00000,   0.00000,   1.00000,   2.00000,   4.00000,   4.00000,   0.00000,   0.00000,   2.00000,   2.00000,   1.00000,   4.00000,   1.00000,   2.00000,   6.00000,   0.00000,   1.00000,   3.00000,   0.00000,   4.00000,   3.00000,   4.00000,   6.00000,   6.00000,   0.03636,   0.03636,   0.03636,   0.05455,   0.00000,   0.03636,   0.00909,   0.09091,   0.00000,   0.00000,   0.01818,   0.02727,   0.00909,   0.01818,   0.01818,   0.06364,   0.03636,   0.00000,   0.00909,   0.01818,   0.03636,   0.03636,   0.00000,   0.00000,   0.01818,   0.01818,   0.00909,   0.03636,   0.00909,   0.01818,   0.05455,   0.00000,   0.00909,   0.02727,   0.00000,   0.03636,   0.02727,   0.03636,   0.05455,   0.05455
5uxq_H,   2.00000,   1.50000,  54.00000,  39.70000,  95.00000,  69.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.70000,   3.00000,   2.20000,   0.00000,   0.00000,   0.00000,   0.00000,  17.00000,  12.50000,  11.00000,   8.10000,   4.00000,   2.90000,   0.00000,   0.00000,7942.70000, 156.00000, 104.00000,3437.00000, 449.00000,   0.00000,1086.00000,1041.00000,1668.00000,   0.44265,   0.40222,   0.27508,   0.39404,   0.41860,   0.50197,   0.07800,   0.52834,   0.43616,   0.44131,   0.40567,   0.16260,   0.66546,   0.52663,   0.10444,   0.15709,   0.62059,   0.36959,   0.37660,   0.18452,   0.16516,   0.22662,4994.80000,1563.25000,1434.62000, 581.10000,4560.18000, 982.15000,   2.00000,   4.00000,   1.00000,   5.00000,   0.00000,   3.00000,   5.00000,   7.00000,   2.00000,   0.00000,   3.00000,   8.00000,   0.00000,   0.00000,   1.00000,   6.00000,   7.00000,   0.00000,   0.00000,   1.00000,   6.00000,   2.00000,   0.00000,   1.00000,   2.00000,   2.00000,   1.00000,   4.00000,   1.00000,   1.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   6.00000,   5.00000,   4.00000,   4.00000,   8.00000,   0.01852,   0.03704,   0.00926,   0.04630,   0.00000,   0.02778,   0.04630,   0.06481,   0.01852,   0.00000,   0.02778,   0.07407,   0.00000,   0.00000,   0.00926,   0.05556,   0.06481,   0.00000,   0.00000,   0.00926,   0.05556,   0.01852,   0.00000,   0.00926,   0.01852,   0.01852,   0.00926,   0.03704,   0.00926,   0.00926,   0.00926,   0.00000,   0.01852,   0.02778,   0.00000,   0.05556,   0.04630,   0.03704,   0.03704,   0.07407
5umn_C,   2.00000,   1.50000,  50.00000,  37.30000,  82.00000,  61.20000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   3.00000,   2.20000,   2.00000,   1.50000,   0.00000,   0.00000,   0.00000,   0.00000,   5.00000,   3.70000,  14.00000,  10.40000,   2.00000,   1.50000,   2.00000,   1.50000,6691.00000,   0.00000,  35.00000,2429.00000, 951.00000,   0.00000,1105.00000, 426.00000,1745.00000,   0.40248,   0.35757,   0.19825,   0.35910,   0.31456,   0.44033,   0.07470,   0.41994,   0.42063,   0.40409,   0.18293,   0.14587,   0.21955,   0.57948,   0.37667,   0.14239,   0.67389,   0.35867,   0.27544,   0.18561,   0.15060,   0.23232,4004.48000,1890.55000,1683.81000, 815.01000,3320.68000,1075.54000,   1.00000,   4.00000,   1.00000,   6.00000,   0.00000,   4.00000,   5.00000,  10.00000,   0.00000,   0.00000,   2.00000,   2.00000,   1.00000,   0.00000,   2.00000,   4.00000,   2.00000,   0.00000,   0.00000,   1.00000,   3.00000,   1.00000,   1.00000,   0.00000,   2.00000,   4.00000,   1.00000,   5.00000,   1.00000,   4.00000,   7.00000,   1.00000,   3.00000,   1.00000,   0.00000,   8.00000,   4.00000,   3.00000,   6.00000,   9.00000,   0.00917,   0.03670,   0.00917,   0.05505,   0.00000,   0.03670,   0.04587,   0.09174,   0.00000,   0.00000,   0.01835,   0.01835,   0.00917,   0.00000,   0.01835,   0.03670,   0.01835,   0.00000,   0.00000,   0.00917,   0.02752,   0.00917,   0.00917,   0.00000,   0.01835,   0.03670,   0.00917,   0.04587,   0.00917,   0.03670,   0.06422,   0.00917,   0.02752,   0.00917,   0.00000,   0.07339,   0.03670,   0.02752,   0.05505,   0.08257
5u3p_H,   2.00000,   1.60000,  51.00000,  39.50000,  86.00000,  66.70000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   6.20000,  15.00000,  11.60000,   2.00000,   1.60000,   2.00000,   1.60000,7346.30000,   0.00000,  33.00000,2444.00000,1333.00000,   0.00000,1109.00000, 460.00000,1967.00000,   0.47737,   0.35646,   0.34228,   0.39850,   0.41786,   0.35723,   0.06426,   0.37593,   0.49296,   0.37044,   0.28527,   0.17967,   0.25226,   0.62418,   0.40521,   0.26640,   0.62887,   0.46419,   0.26734,   0.16633,   0.16051,   0.31792,4647.51000,1727.67000,1835.86000, 675.68000,3811.65000,1051.99000,   3.00000,   2.00000,   2.00000,   4.00000,   0.00000,   2.00000,   5.00000,  10.00000,   0.00000,   1.00000,   2.00000,   7.00000,   1.00000,   2.00000,   3.00000,   4.00000,   2.00000,   0.00000,   0.00000,   3.00000,   4.00000,   4.00000,   1.00000,   2.00000,   2.00000,   1.00000,   1.00000,   6.00000,   1.00000,   2.00000,   5.00000,   0.00000,   1.00000,   3.00000,   0.00000,   2.00000,   6.00000,   4.00000,   4.00000,   8.00000,   0.02727,   0.01818,   0.01818,   0.03636,   0.00000,   0.01818,   0.04545,   0.09091,   0.00000,   0.00909,   0.01818,   0.06364,   0.00909,   0.01818,   0.02727,   0.03636,   0.01818,   0.00000,   0.00000,   0.02727,   0.03636,   0.03636,   0.00909,   0.01818,   0.01818,   0.00909,   0.00909,   0.05455,   0.00909,   0.01818,   0.04545,   0.00000,   0.00909,   0.02727,   0.00000,   0.01818,   0.05455,   0.03636,   0.03636,   0.07273
5u3o_H,   2.00000,   1.60000,  51.00000,  39.50000,  86.00000,  66.70000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   6.20000,  14.00000,  10.90000,   2.00000,   1.60000,   2.00000,   1.60000,7455.60000,   0.00000,  35.00000,2526.00000,1048.00000,   0.00000,1409.00000, 429.00000,2009.00000,   0.46974,   0.36851,   0.42942,   0.49106,   0.39344,   0.40160,   0.08019,   0.47746,   0.45099,   0.36300,   0.29473,   0.18043,   0.26040,   0.60957,   0.34074,   0.28339,   0.60130,   0.30652,   0.35036,   0.17591,   0.16603,   0.32621,4722.71000,1688.34000,1922.34000, 614.53000,3800.38000,1073.81000,   4.00000,   4.00000,   1.00000,   6.00000,   0.00000,   2.00000,   4.00000,  10.00000,   0.00000,   1.00000,   2.00000,   4.00000,   1.00000,   2.00000,   3.00000,   3.00000,   4.00000,   0.00000,   0.00000,   3.00000,   2.00000,   3.00000,   1.00000,   1.00000,   2.00000,   2.00000,   0.00000,   7.00000,   1.00000,   2.00000,   5.00000,   0.00000,   3.00000,   2.00000,   0.00000,   6.00000,   5.00000,   4.00000,   4.00000,   6.00000,   0.03636,   0.03636,   0.00909,   0.05455,   0.00000,   0.01818,   0.03636,   0.09091,   0.00000,   0.00909,   0.01818,   0.03636,   0.00909,   0.01818,   0.02727,   0.02727,   0.03636,   0.00000,   0.00000,   0.02727,   0.01818,   0.02727,   0.00909,   0.00909,   0.01818,   0.01818,   0.00000,   0.06364,   0.00909,   0.01818,   0.04545,   0.00000,   0.02727,   0.01818,   0.00000,   0.05455,   0.04545,   0.03636,   0.03636,   0.05455
